"vin","departed_at","arrived_at","idle_time","departure_coordinates","arrival_coordinates","departure_fuel","arrival_fuel","departure_interior","arrival_interior","trip_id","estimated_distance","estimated_duration","polyline"
"WMEEJ3BA8EK753718",1448397301,1448398801,13800,"0101000020E61000008F19A88C7FFB4340C03E3A75E5BF54C0","0101000020E61000007EC6850321FD4340FBE8D495CFC054C0",33,33,"GOOD","GOOD",30901,"1.7 mi","5 mins","[[[39.977548,-83.0126712],[39.9774987,-83.01119899999999]],[[39.9774987,-83.01119899999999],[39.9724954,-83.00949109999999]],[[39.9724954,-83.00949109999999],[39.9725824,-83.00910329999999]],[[39.9725824,-83.00910329999999],[39.9733262,-83.0049039]],[[39.9733262,-83.0049039],[39.9739218,-83.00347359999999]],[[39.9739218,-83.00347359999999],[39.9648256,-82.9984209]]]"
"WMEEJ3BA8EK753718",1448285701,1448286901,3600,"0101000020E6100000FDC1C073EF014440E73A8DB454C054C0","0101000020E610000034BA83D899FA43409626A5A0DBBF54C0",39,36,"GOOD","GOOD",30898,"6.3 mi","11 mins","[[[39.95771,-82.99775819999999],[39.9574943,-82.99973059999999]],[[39.9574943,-82.99973059999999],[39.9561333,-82.9994984]],[[39.9561333,-82.9994984],[39.9564674,-82.99679809999999]],[[39.9564674,-82.99679809999999],[39.9536025,-82.9962426]],[[39.9536025,-82.9962426],[39.9539623,-82.9897222]],[[39.9539623,-82.9897222],[39.9589885,-82.98253419999999]],[[39.9589885,-82.98253419999999],[39.9628224,-82.9826626]],[[39.9628224,-82.9826626],[40.0121052,-82.9916216]],[[40.0121052,-82.9916216],[40.0143711,-82.9932725]],[[40.0143711,-82.9932725],[40.015272,-83.0021944]],[[40.015272,-83.0021944],[40.0154059,-83.0053092]],[[40.0154059,-83.0053092],[40.01511070000001,-83.0052269]]]"
"WMEEJ3BA8EK753590",1448376901,1448378401,0,"0101000020E610000010CCD1E3F7FE434030BB270F0BC154C0","0101000020E6100000CBBE2B82FFF943401C42959A3DC054C0",100,100,"GOOD","GOOD",30890,"4.7 mi","9 mins","[[[39.9531368,-83.0037582],[39.9527168,-83.0005939]],[[39.9527168,-83.0005939],[39.9545993,-83.00097199999999]],[[39.9545993,-83.00097199999999],[39.9544178,-83.0026219]],[[39.9544178,-83.0026219],[39.95261720000001,-83.0112753]],[[39.95261720000001,-83.0112753],[39.9522161,-83.01281490000001]],[[39.9522161,-83.01281490000001],[39.9537977,-83.0178399]],[[39.9537977,-83.0178399],[39.9907695,-83.02512779999999]],[[39.9907695,-83.02512779999999],[39.9922003,-83.0208639]],[[39.9922003,-83.0208639],[39.9907085,-83.0205282]],[[39.9907085,-83.0205282],[39.9905274,-83.0164178]],[[39.9905274,-83.0164178],[39.9919415,-83.0163482]]]"
"WMEEJ3BA8EK753590",1448392501,1448393401,0,"0101000020E6100000CBB9145795F94340618E1EBFB7BF54C0","0101000020E6100000E7FBA9F1D2FD4340C66D3480B7C054C0",100,100,"GOOD","GOOD",30892,"4.0 mi","8 mins","[[[39.9829987,-83.0111741],[39.9820814,-83.0112503]],[[39.9820814,-83.0112503],[39.98211999999999,-83.0120491]],[[39.98211999999999,-83.0120491],[39.9738928,-83.0104467]],[[39.9738928,-83.0104467],[39.9739549,-83.0125596]],[[39.9739549,-83.0125596],[39.9708555,-83.01885159999999]],[[39.9708555,-83.01885159999999],[39.9620278,-83.01937400000001]],[[39.9620278,-83.01937400000001],[39.9531828,-83.0178796]],[[39.9531828,-83.0178796],[39.952227,-83.01164390000001]],[[39.952227,-83.01164390000001],[39.9529658,-83.00068379999999]],[[39.9529658,-83.00068379999999],[39.9528303,-82.9967964]],[[39.9528303,-82.9967964],[39.95279439999999,-82.9960918]],[[39.95279439999999,-82.9960918],[39.94987649999999,-82.995536]]]"
"WMEEJ3BAXDK659922",1448287201,1448289601,49500,"0101000020E61000001A8BA6B393FD4340ECC039234AC154C0","0101000020E6100000904E5DF92CFF4340F4FDD478E9C054C0",84,81,"GOOD","GOOD",34638,"1.4 mi","6 mins","[[[39.9935542,-83.0142971],[39.9804406,-83.0117144]],[[39.9804406,-83.0117144],[39.9807651,-83.0200771]],[[39.9807651,-83.0200771],[39.9810692,-83.0201263]]]"
"WMEEJ3BA8EK753590",1448391901,1448392501,13500,"0101000020E6100000CBBE2B82FFF943401C42959A3DC054C0","0101000020E6100000CBB9145795F94340618E1EBFB7BF54C0",100,100,"GOOD","GOOD",30891,"0.8 mi","5 mins","[[[39.94987649999999,-82.995536],[39.950781,-82.9956888]],[[39.950781,-82.9956888],[39.950269,-83.0001217]],[[39.950269,-83.0001217],[39.9511889,-83.00031249999999]],[[39.9511889,-83.00031249999999],[39.9506997,-83.0036654]],[[39.9506997,-83.0036654],[39.9531436,-83.00435879999999]],[[39.9531436,-83.00435879999999],[39.9531368,-83.0037582]]]"
"WMEEJ3BA9DK659457",1448478001,1448481601,15000,"0101000020E61000008F53742497FB4340A2629CBF09BF54C0","0101000020E61000006B7D91D096FB43407E8CB96B09BF54C0",100,100,"GOOD","GOOD",32464,"0.2 mi","1 min","[[[39.9655462,-82.98489049999999],[39.9649549,-82.9847279]],[[39.9649549,-82.9847279],[39.9661047,-82.9846914]],[[39.9661047,-82.9846914],[39.9655581,-82.9848926]]]"
"WMEEJ3BA8EK753590",1448464801,1448465401,11700,"0101000020E6100000A06CCA15DEF9434067EDB60BCDBF54C0","0101000020E610000077BE9F1A2FF94340A228D027F2BE54C0",100,100,"GOOD","GOOD",30894,"1.4 mi","5 mins","[[[39.9467123,-82.9835331],[39.9466885,-82.9827653]],[[39.9466885,-82.9827653],[39.9441948,-82.9829706]],[[39.9441948,-82.9829706],[39.9441892,-82.99444330000001]],[[39.9441892,-82.99444330000001],[39.95201429999999,-82.99593999999999]],[[39.95201429999999,-82.99593999999999],[39.9518852,-82.9968777]],[[39.9518852,-82.9968777],[39.9520878,-82.99691229999999]]]"
"WMEEJ3BA9DK659684",1448485501,1448486401,22800,"0101000020E610000078B471C45A0044400586AC6EF5C054C0","0101000020E6100000C503CAA65C01444007F0164850C054C0",100,100,"GOOD","GOOD",32466,"1.3 mi","7 mins","[[[40.0107248,-83.0048946],[40.0105935,-83.0025436]],[[40.0105935,-83.0025436],[40.005789,-83.002872]],[[40.005789,-83.002872],[40.0060448,-83.0092378]],[[40.0060448,-83.0092378],[40.0037277,-83.00884429999999]],[[40.0037277,-83.00884429999999],[40.0038144,-83.0108989]],[[40.0038144,-83.0108989],[40.0032247,-83.0108166]],[[40.0032247,-83.0108166],[40.0027459,-83.01497549999999]]]"
"WMEEJ3BA8EK753590",1448484901,1448486401,18900,"0101000020E6100000D235936FB6F943405CACA8C134C054C0","0101000020E610000027BD6F7CEDFD4340D00A0C59DDC254C0",100,100,"GOOD","GOOD",30896,"4.4 mi","10 mins","[[[39.9837978,-83.04485939999999],[39.9730032,-83.04572280000001]],[[39.9730032,-83.04572280000001],[39.9668669,-83.023771]],[[39.9668669,-83.023771],[39.9620278,-83.01937400000001]],[[39.9620278,-83.01937400000001],[39.9531828,-83.0178796]],[[39.9531828,-83.0178796],[39.952227,-83.01164390000001]],[[39.952227,-83.01164390000001],[39.9533825,-83.00457890000001]],[[39.9533825,-83.00457890000001],[39.9528938,-83.0018271]],[[39.9528938,-83.0018271],[39.9527168,-83.0005939]],[[39.9527168,-83.0005939],[39.9511889,-83.00031249999999]],[[39.9511889,-83.00031249999999],[39.9508054,-83.00319170000002]]]"
